study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,text_2.started,text_3.started,textbox.started,text_4.started,mouse.started,text_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.07733460003510118,,0.023604299873113632,0.07733460003510118,0.07733460003510118,8.08038099994883,8.151635699905455,1.0,8.094016199931502,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
T-shirt,,,,0,1,1,7,,,,,8.179199300007895,,8.154748999979347,8.179199300007895,8.179199300007895,,9.569425199879333,1.0,1.387903899885714,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
poster,,,,0,2,2,14,,,,,9.59694269997999,,9.569684999994934,9.59694269997999,9.59694269997999,,11.304137399885803,1.0,1.7058800999075174,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
laptop,,,,0,3,3,5,,,,,11.330893700011075,,11.304387300042436,11.330893700011075,11.330893700011075,,12.72440869989805,1.0,1.379410299938172,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
chart,,,,0,4,4,6,,,,,12.74763510003686,,12.724696099990979,12.74763510003686,12.74763510003686,,13.887616599909961,1.0,1.1413261000998318,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
police,,,,0,5,5,12,,,,,13.91505920002237,,13.88807259988971,13.91505920002237,13.91505920002237,,15.00454970006831,1.0,1.091624400112778,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
cruise,,,,0,6,6,11,,,,,15.03184140007943,,15.004815899999812,15.03184140007943,15.03184140007943,,16.10547519987449,1.0,1.0787815998774022,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
case,,,,0,7,7,10,,,,,16.132733899867162,,16.105760500067845,16.132733899867162,16.132733899867162,,18.03896309994161,1.0,1.9115830000955611,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
cushion,,,,0,8,8,1,,,,,18.06656669988297,,18.0392259999644,18.06656669988297,18.06656669988297,,19.657199299894273,1.0,1.5924021999817342,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
keys,,,,0,9,9,13,,,,,19.68395940004848,,19.65745979989879,19.68395940004848,19.68395940004848,,20.66021250002086,1.0,0.9767268998548388,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
board,,,,0,10,10,4,,,,,20.70138440001756,,20.660573200089857,20.70138440001756,20.70138440001756,,21.706465899944305,1.0,1.005574299953878,,,,,,,,,,,,,,,Tn,001,2024-10-28_11h01.11.041,word_priming_exp,2024.1.5,None,2024-10-28 11h01.25.720606 +0530,
